category_id,category_name,AP,AP50,AP75,gt_count
1,person,0.3917080350798235,0.5337146528712752,0.4467497647963228,282
2,bicycle,0.1079591211968825,0.16416060729242316,0.12684678360857402,27
3,car,0.06472284986774295,0.09050180338563733,0.08106289626942802,51
4,motorcycle,0.30469746974697465,0.31481481481481477,0.31481481481481477,7
6,bus,0.433993399339934,0.5016501650165016,0.5016501650165016,7
8,truck,0.11871778180592682,0.20316540424392562,0.14353453384549503,13
10,traffic light,0.03257629254443413,0.052690486439948336,0.03955754505562722,25
17,cat,0.2832429691759706,0.3320664940915089,0.3320664940915089,7
18,dog,0.5395507292664751,0.5870328968380708,0.5870328968380708,3
19,horse,0.12688798291593867,0.15504909624089344,0.15504909624089344,5
27,backpack,0.15215235506578365,0.17847057037810243,0.16116554589677684,10
28,umbrella,0.2444834023740085,0.2573185179681195,0.2573185179681195,9
44,bottle,0.10901183644516438,0.1398981243675746,0.1250481298129813,53
47,cup,0.2298517405853139,0.3003962733935731,0.2789433705275289,16
62,chair,0.11608314787412827,0.15679721370687583,0.14813155539983325,41
63,couch,0.38774781459410573,0.4069260556032183,0.4069260556032183,11
67,dining table,0.24156565053506657,0.27570772070688165,0.2595478827543771,16
73,laptop,0.5555336126604574,0.6297136452189693,0.611032531824611,4
77,cell phone,0.2506364922206506,0.3569071192833568,0.3399339933993399,5
84,book,0.018207689634330077,0.027451751797696326,0.020786714894399656,68
